本地菜品分类,淘点点分类ID
拌菜,50024701
餐前开胃菜,50024701
朝江香少腊,50024701
川式凉菜,50024701
大厨凉菜,50024701
风味凉菜,50024701
家常凉菜,50024701
江南特色凉菜篇,50024701
经典凉菜,50024701
精典凉菜篇,50024701
精美冷菜,50024701
精美凉菜,50024701
精美凉菜.刺身,50024701
精美凉菜.小鲜,50024701
精美凉菜类,50024701
精美凉菜篇,50024701
精品冷菜,50024701
精品凉菜,50024701
精品凉菜类,50024701
精致凉菜,50024701
开胃凉菜,50024701
冷菜,50024701
冷菜时尚,50024701
立方凉菜,50024701
凉菜,50024701
凉菜,50024701
凉菜·篇,50024701
凉菜类,50024701
凉菜类,50024701
凉菜篇,50024701
凉菜系列,50024701
美味冷蝶,50024701
美味凉菜,50024701
面酷冷菜,50024701
南北凉菜,50024701
盘菜,50024701
配菜,50024701
时尚冷菜,50024701
素凉菜,50024701
特色凉菜,50024701
羲和凉菜,50024701
下酒菜,50024701
湘味头碟,50024701
小菜类,50024701
小咸菜,50024701
原始凉拌菜,50024701
招牌冷蝶,50024701
至尊凉菜,50024701
小吃（包含1元打包费）,50024701
小吃、点心,50024701
小吃凉菜,50024701
新鲜沙拉,50024701
新鲜时蔬,50024701
养生汁系列,50024701
招牌凉菜,50024701
粥、小菜、沙拉、甜品类,50024701
竹笋蛋羹豆腐,50024701
主食（菜价已包含1元打包餐盒费）,50024701
主食、甜品类,50024701
主食ご飯物StapleFood,50024701
主食-五谷为养（dimsum）,50024701
主食-五谷为养（dimsum）,50024701
主食-五谷为养（dimsum）,50024701
主食-五谷为养（dimsum）,50024701
主食系,50024701
―主食系类―,50024701
主食小吃系列,50024701
自家制拌菜,50024701
组合凉菜,50024701
佐餐小菜,50024701
精品素菜类,50024701
精品自制凉菜,50024701
精选主餐,50024701
精制凉菜,50024701
精致小菜,50024701
冷点,50024701
冷碟,50024701
冷碟（已包含1元打包费）,50024701
冷荤类,50024701
凉拌菜类,50024701
凉菜（包含1元打包费）,50024701
凉菜（菜价已包含1元打包餐盒费）,50024701
凉菜（已包含一元打包费）,50024701
凉菜（已包含一元打包盒费用）,50024701
凉菜（已含1元餐盒费）,50024701
凉菜/炖菜,50024701
凉菜麻辣食品,50024701
凉菜拼盘,50024701
凉菜系,50024701
凉菜系类,50024701
凉菜小吃,50024701
凉粉系列,50024701
凉拼,50024701
Colddishes开胃前菜,50024701
CURRY暹罗咖喱,50024701
Dishes精品粤菜,50024701
SALAD暹罗沙拉,50024701
Vegetable田园时蔬,50024701
WestemFood无国界美食,50024701
拌菜类,50024701
补单用菜,50024701
肠肠久久,50024701
成品,50024701
出类拔萃,50024701
传菜,50024701
刺身系列（7片70克）,50024701
从“新”开始,50024701
从一而终,50024701
单加荤菜,50024701
单加素菜,50024701
单品,50024701
淡雅素食,50024701
当季新品,50024701
好味主食,50024701
花家品位,50024701
花式反卷类,50024701
季节青菜,50024701
家常素菜,50024701
健康生活,50024701
健康食蔬,50024701
健康素菜,50024701
健康五谷系列,50024701
金瓜山药玉米,50024701
荆楚凉菜,50024701
精。美。冷。菜,50024701
精美冷碟,50024701
精美冷盘,50024701
精美凉菜（每份含一元打包费）,50024701
精美前菜,50024701
精美佐食,50024701
精品草莓,50024701
--精品草莓--,50024701
精品荟萃,50024701
绝活一招鲜,50024701
绿色食尚,50024701
绿色蔬菜（已包含1元打包费）,50024701
绿色养生,50024701
秘制卤菜,50024701
秘制沙拉（含一元打包费）,50024701
青菜锅,50024701
清热祛火,50024701
清爽凉菜,50024701
全部素菜,50024701
双拼,50024701
爽口凉菜,50024701
素菜篇,50024701
素菜系列（一份）,50024701
素食,50024701
土坛子特色菜,50024701
土乡土味,50024701
西安泡馍,50024701
西餐,50024701
西餐类,50024701
夏季时蔬,50024701
夏季特享系列,50024701
夏季新品凉菜,50024701
夏日凉菜,50024701
一品色拉,50024701
B.B.QChicken,50024701
BBQchichen,50024701
BBQ港式烧腊,50024701
High能量,50024701
High味道,50024701
SichuanDishes精品川菜,50024701
SPECIAC暹罗精品,50024701
STAPLE暹罗主食,50024701
Steam蒸蒸日上,50024701
wing,50024701
俺家锅叉菜,50024701
八大碗,50024701
八方美食,50024701
吧台,50024701
百味家常,50024701
百味家常（含一元打包费）,50024701
北京烤鸭,50024701
北京烤鸭系列,50024701
参类,50024701
餐前美食,50024701
超人榜,50024701
超值版,50024701
代购区,50024701
单品类,50024701
汽锅鸡,50024701
鲜香煎炸,50024701
早餐供应,50024701
早餐系列,50024701
早午餐系列,50024701
招牌干锅,50024701
100%草原羊,50024702
白灼类,50024702
白灼时蔬,50024702
煲类,50024702
煲类/干锅类,50024702
煲仔,50024702
煲仔类,50024702
煲仔系列,50024702
煲仔主食,50024702
宝岛特色小吃,50024702
堡类/肉类,50024702
本店川湘菜,50024702
本店特别推荐,50024702
―本店特色―,50024702
本店特色锅,50024702
本店特推,50024702
本店推荐,50024702
本店推荐菜,50024702
必点,50024702
避风塘美食,50024702
菜,50024702
菜类,50024702
菜类-道法自然（melon、nightshade&fruit）,50024702
菜类-鼎珍鲜羹（soup）,50024702
菜类-山珍山珍颐养（Mushroom/algae/lichen）,50024702
菜类-生机前菜（Colddish）,50024702
